DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
3013,Triangle CofE VC Primary School,Primary,Voluntary controlled school,Headteacher,Mr Joseph Allen,Butterworth Lane,Triangle,,Sowerby Bridge,HX6 3NJ,Ryburn,001422 831558,http://www.triangleprimary.org.uk,No,173,02-Oct-25,404309,422248,53.69667,-1.93622,Sowerby Bridge,,,,010033879746
2001,Trinity Academy Akroydon,Primary,Academy converter,Executive Principal,Mrs Rebecca Holland,Rawson Street North,Boothtown,,Halifax,HX3 6PU,Town,001422 351291,https://akroydon.trinitymat.org/,Yes,208,02-Oct-25,408888,408888,53.73541,-1.86675,North Halifax,Trinity Multi Academy Trust,Trinity Multi Academy Trust,,1.00052E+11
4007,Trinity Academy Grammar,Secondary,Academy sponsor led,,Elizabeth Fairhurst,Albert Road,,,Sowerby Bridge,HX6 2NW,Sowerby Bridge,001422 831011,https://grammar.trinitymat.org/,No,982,02-Oct-25,406128,424207,53.71426,-1.90863,Secondary,Trinity Multi Academy Trust,Trinity Multi Academy Trust,,1.00052E+11
6905,Trinity Academy Halifax,Secondary,Academy sponsor led,Principal,Mrs Sarah Case,Shay Lane,,,Halifax,HX2 9TZ,Illingworth and Mixenden,001422 244890,https://halifax.trinitymat.org,No,1623,02-Oct-25,408282,428628,53.75397,-1.87588,Secondary,Trinity Multi Academy Trust,Trinity Multi Academy Trust,,010090365804
2026,Trinity Academy St Chad's,Primary,Academy sponsor led,,Ms Rachel Dawson,Upper Green Lane,Hove Edge,,Brighouse,HD6 2PA,Brighouse,001484 712361,https://stchads.trinitymat.org/,No,121,02-Oct-25,413270,424304,53.715,-1.80042,East Calderdale,Trinity Multi Academy Trust,Trinity Multi Academy Trust,,1.00052E+11
2035,Trinity Academy St Peter's,Primary,Academy sponsor led,,Mr Mathew Brown,St Peter's Avenue,Sowerby,,Sowerby Bridge,HX6 1HB,Ryburn,001422 831971,https://stpeters.trinitymat.org/,Yes,92,02-Oct-25,404318,423064,53.70401,-1.93607,Sowerby Bridge,Trinity Multi Academy Trust,Trinity Multi Academy Trust,,010006748428
2031,Trinity Academy Whitehill,Primary,Academy converter,Headteacher,Mr Christopher Kimberley,Occupation Lane,Illingworth,,Halifax,HX2 9RL,Illingworth and Mixenden,001422 244471,https://whitehill.trinitymat.org/,Yes,580,02-Oct-25,407493,428846,53.75594,-1.88784,North Halifax,Trinity Multi Academy Trust,Trinity Multi Academy Trust,,010035038240
4003,Trinity Sixth Form Academy,16 plus,Free schools 16 to 19,,Mr Michael Fitzsimons,Northgate House,,,Halifax,HX1 1UN,Town,001422 240033,https://sixth.trinitymat.org/,No,924,02-Oct-25,409392,425282,53.72386,-1.85914,Secondary,Trinity Multi Academy Trust,Trinity Multi Academy Trust,,010095601905
2067,Tuel Lane Infant School,Primary,Community school,Headteacher,Headteacher Alison Embleton,Clay Street,Tuel Lane,,Sowerby Bridge,HX6 2ND,Sowerby Bridge,001422 831221,www.tuellaneinfantschool.co.uk,Yes,69,02-Oct-25,405850,423905,53.71155,-1.91285,Sowerby Bridge,,,,1.00052E+11
2027,Wainstalls School,Primary,Academy converter,Headteacher,Mrs Linda Waugh,Wainstalls,,,Halifax,HX2 7TE,Luddendenfoot,001422 244804,http://www.wainstalls.org.uk,No,195,02-Oct-25,404667,428435,53.75228,-1.93071,Calder Valley,Pennine Alliance Learning Trust,,,1.00052E+11
5208,Walsden St Peter's CE (VC) Primary School,Primary,Voluntary controlled school,Headteachers,Ms Emma Earner Esther Logue,Rochdale Road,Walsden,,Todmorden,OL14 6RN,Todmorden,001706 812947,www.walsden.calderdale.sch.uk,No,169,02-Oct-25,393178,422304,53.69687,-2.10441,Todmorden,,,,010035035609
2028,Warley Road Primary Academy,Primary,Academy converter,Headteacher,Mrs Sarah Tindal,Warley Road,,,Halifax,HX1 3TG,Park,001422 353724,www.warleyroad.co.uk,Yes,500,02-Oct-25,407281,424575,53.71756,-1.89115,Sowerby Bridge,Impact Education Multi Academy Trust,Impact Education Multi Academy Trust,,1.00052E+11
2030,Warley Town School,Primary,Community school,Headteacher,Mrs Jenny Stott,Dark Lane,Warley,,Halifax,HX2 7QD,Warley,001422 831592,http://www.warleytown.org.uk,No,132,02-Oct-25,405668,424681,53.71853,-1.91559,Calder Valley,,,,1.00052E+11
2016,West Vale Academy,Primary,Academy sponsor led,,Mrs Helen Crowther,Stainland Road,West Vale,,Halifax,HX4 8LS,Greetland and Stainland,001422 372804,https://www.westvaleacademy.org.uk/,No,73,02-Oct-25,409767,421282,53.68792,-1.85359,Elland,Great Heights Academy Trust,Great Heights Academy Trust,,010006740089
2046,Withinfields Primary School,Primary,Community school,Headteacher,Mrs Helen York,Withinfields,Southowram,,Halifax,HX3 9QJ,Town,001422 363581,http://www.withinfields.calderdale.sch.uk,Yes,332,02-Oct-25,411113,424048,53.71275,-1.83311,East Calderdale,,,,1.00052E+11
7008,Wood Bank School,Special primary,Community special school,Headteacher,Mrs Jenna Port,Dene View,Luddenden,,Halifax,HX2 6PB,Luddendenfoot,001422 884170,http://www.woodbank.calderdale.sch.uk/,No,142,02-Oct-25,404035,425630,53.72707,-1.94032,Special,,,,010006745837
2081,Woodhouse Primary School,Primary,Community school,Headteacher,Mrs Anne Crane,Daisy Road,,,Brighouse,HD6 3SX,Rastrick,001484 714750,http://www.woodhouse.calderdale.sch.uk,No,411,02-Oct-25,414820,421878,53.69316,-1.77704,East Calderdale,,,,010010188915
